auction_id;auction_name;auction_country;country_isocode;startdate;closedate;onlinedate;is_private;is_active;is_homedelivery;is_public;open_for_bidding;is_closed;sourcing_company
38219;Vintage & Antique Jewellery;Netherlands;nl;2020-01-07;2020-01-14;;0;1;1;;0;1;art
43832;(T) Bouwmachines en aannemersmateriaal te Staphorst (Geta Handelsonderneming);Netherlands;nl;2019-12-20;2020-01-08;;0;0;0;;0;1;bva
44976;Dagaanbiedingen dinsdagavond;Netherlands;nl;2020-01-06;2020-01-07;;0;0;1;;0;1;3rdpartydailyspecials
45968;Defensiegoederen (Domeinen Roerende Zaken) Amersfoort;Netherlands;nl;2020-02-10;2020-02-17;;0;0;0;;0;1;bva
45121;(Bezorgveiling) Buybay Consumentengoederen (Toplots);Netherlands;nl;2020-01-17;2020-01-22;;0;0;1;;0;1;bva
45732;Partij en fietsen te Harderwijk;Netherlands;nl;2020-02-04;2020-02-10;;0;0;0;;0;1;bva
45367;GEANNULEERD -       Nieuwegein, Laarderschans 36;Netherlands;nl;2020-02-19;2020-02-19;;0;1;0;;0;1;nvv
37599;Luxe horloges w.o. Calvin Klein, Swiss Alpine Military & Hublot;Netherlands;nl;2020-01-17;2020-01-23;;0;0;1;;0;1;art
45325;Alles voor de woonkamer;Netherlands;nl;2020-02-12;2020-02-19;;0;0;1;;0;1;bva
45034;Hekwerk en carports te Budel;Netherlands;nl;2019-12-31;2020-01-07;;0;0;0;;0;1;bva
45452;Klassieke brommers, motoren en auto's te Limbricht;Netherlands;nl;2020-02-05;2020-02-18;;0;0;0;;0;1;bva
45527;Partijen tegels;Netherlands;nl;2020-01-24;2020-02-03;;0;0;1;;0;1;bva
44980;Dagaanbiedingen maandagmiddag;Netherlands;nl;2020-01-05;2020-01-06;;0;0;1;;0;1;bva
43858;BARKAS 1100 OK (Schipveiling.nl);Netherlands;nl;2020-01-09;2020-01-16;;0;0;0;;0;1;bva
45313;Dagaanbiedingen zaterdagmiddag;Netherlands;nl;2020-01-31;2020-02-01;;0;0;1;;0;1;3rdpartydailyspecials
45564;BU5 - Van Bellen;Netherlands;nl;2020-02-19;2020-02-26;;0;0;1;;0;1;art
37597;Luxe horloges w.o. Seiko, Breitling & Franck Muller;Netherlands;nl;2020-01-03;2020-01-09;;0;0;1;;0;1;art
45599;Badkamer, toilet, sanitair en tegels;Netherlands;nl;2020-02-07;2020-02-14;;0;0;1;;0;1;bva
